lot_size_sqft,num_bedrooms,num_bathrooms,neighborhood,year_built,sale_price
955.9980039933095,5,4,West,1997,304774.36415336543
3010.226749162228,5,2,South,1978,677901.5675710628
1044.5245182110327,3,2,North,1961,267167.34611461504
1119.8780936574435,2,1,East,1999,294061.5754410285
2338.2100954104462,6,4,South,1984,554962.310370685
3136.229918428647,3,4,South,1960,665367.6076211372
1169.6605305722624,2,1,Central,1976,264209.45721865393
1499.9386514102748,3,2,North,2020,377564.3130590623
2854.474030899415,1,2,West,1969,599482.2149157927
3418.2966355768053,2,2,North,1963,688633.0517065121
2052.1494399867925,4,4,North,1999,489933.613717064
1017.3027573986273,6,1,North,1964,281145.241885734
640.4152343537845,5,2,Central,2017,235835.3523803966
1266.00248699668,5,1,Central,2012,318738.53376357944
982.284431580911,4,1,North,2021,268118.0278837816
2565.2101534772864,1,4,West,2016,556889.6183175487
953.3142634227403,3,4,Central,1967,294881.7653822142
2068.3568016998356,6,1,North,1965,529442.387224413
2613.3610633643707,1,3,Central,1975,535106.2151295232
2285.238166740617,6,1,East,1984,552622.3723629926
1179.3493898141671,5,1,North,2014,331189.1773725748
2931.961125928562,2,2,South,2003,609984.2879659456
2674.6806758858247,5,1,East,1997,598931.4384353408
2743.053611355071,6,2,South,2014,629928.3972991122
980.0674795162084,1,4,South,1997,265068.0821971008
958.8860305859994,1,3,East,1977,240474.48806307986
3289.9313979188723,4,3,West,1980,681966.0067284142
1752.9767620923278,6,2,East,1987,420881.4391387878
1472.7512061647253,1,1,West,1956,327643.8903588689
2016.8937315194466,4,1,West,2004,459640.3703222147
2522.306217014389,1,2,East,1997,516073.7855677474
3371.3074454362127,4,1,South,2003,707462.9245793656
1430.6940579579596,4,4,North,1988,390198.9142261671
3281.9444450048786,1,4,West,2007,682955.4592462742
672.0925250201433,5,4,South,2019,251635.8304540113
2210.0743227477915,6,3,West,1991,553707.7724293368
2438.527823875147,6,3,North,1982,597872.790842251
907.1024708771845,1,3,South,1957,239696.79458773602
1006.9848314853466,2,2,East,2006,281112.22233752377
1815.4315260172812,2,3,Central,2015,440907.0746353178
3402.072545215227,3,4,Central,2001,741324.5478848085
2328.523404379681,1,4,East,2013,519345.7004450319
3305.7673426406127,6,3,North,2012,746763.3273814336
2932.646655277615,5,1,Central,2008,649421.3065501682
1955.4066445103454,5,3,East,1986,459763.13089365646
2875.8140028313437,2,2,South,1957,601157.3678625356
651.7266735332644,1,3,North,1950,164223.59166908928
916.5175906206314,6,3,West,1964,283804.1744848378
3005.3429831599356,2,4,South,1981,655515.2129859098
2910.769556142969,4,2,East,2004,645291.8225461474
1274.6581517026577,6,4,West,1983,395249.44165176636
2139.231812737255,1,4,East,1951,456486.6105373965
2357.4458800300317,1,2,Central,1965,470056.5257862542
3116.4429659504326,1,2,Central,2021,634353.1759150227
2349.010756282304,1,3,West,2022,509602.4055894233
1796.457550893673,1,4,West,1977,406547.1899059613
1685.1337258808298,5,3,South,2008,450079.2778398999
1835.0580504831787,4,4,Central,2002,449141.3927119205
2490.599974181925,6,2,North,2017,589588.5124297903
3115.722832081742,5,3,Central,2014,677250.7025331946
1916.3009580212693,6,2,Central,1995,482188.9316144857
1318.7347325589385,2,4,North,1978,331668.8801133935
1286.3208526929852,2,2,East,1995,302790.5534104696
2763.4414127059945,6,3,Central,1973,626882.0138544561
2968.04941392934,2,1,West,1975,600986.2583095529
905.3064315769624,1,4,East,1994,245152.8307437968
793.0206851700167,5,2,North,1991,286813.84196461824
2323.85762489371,5,2,East,1992,534567.6824462496
1023.902408158825,6,3,South,1978,314893.9918159284
2991.52615232339,6,2,North,1979,633512.9430540581
1499.970554379816,1,4,Central,1950,331831.5895086747
1017.2286056163136,5,3,Central,1993,305155.0476440912
3270.814370213606,6,3,West,1992,716208.7964957993
1080.0419959323067,5,1,Central,2018,331383.17316848214
1425.688238780013,5,1,South,1986,362399.81634945906
1045.47884605697,6,2,North,1984,335262.85603002843
934.9211846295294,3,4,South,1954,269461.38274407084
661.3292473756761,1,4,Central,1964,198347.68207394535
760.6466865763543,3,3,West,1974,232834.45686805627
1106.4602657139728,2,3,South,1977,285219.791602837
754.8076046188087,1,2,East,1976,227397.29387713346
2314.3170667218164,1,1,North,1978,440032.91110865865
2574.0721277185685,5,1,West,2006,546559.7968227621
1741.528324812882,4,2,North,1959,402827.53600047703
1522.1741811609431,4,2,East,1974,375459.2708380333
2063.1260873644674,5,1,North,1961,483714.26209706435
3137.514332480365,4,2,North,1972,672598.8878168778
3068.281717784397,4,1,East,1999,646027.020507983
726.0776798370966,1,3,Central,1953,213979.63776930384
1126.3453878299197,6,4,Central,1974,359445.1008566765
1286.5601262027485,3,3,North,1951,325841.69018556824
1323.2239699134143,1,2,Central,2019,329120.1781717172
2256.5746900540407,5,2,East,2003,530773.1231612093
1807.1610345392576,5,2,West,1967,428366.7408153231
742.8369477900226,1,1,Central,1964,198927.90318720412
1683.4810015327575,2,3,Central,1957,385685.77711457654
2118.883551281148,1,3,Central,1984,457169.1369319239
894.8485184207764,2,1,East,2005,260167.03689858338
3017.0298059868232,1,2,North,1992,576052.2831495269
750.6894127488024,5,2,East,2014,237108.8317423909
3282.04142015238,4,1,Central,1975,666461.3992318128
887.428110581639,6,3,North,1970,286538.15019116295
3046.367359633483,5,3,East,1984,668277.0021875366
3217.6941173900896,4,3,East,1964,663325.0564136204
3440.7549737011186,4,3,East,2021,725558.524781539
2925.875052793421,1,4,South,1963,592244.8843249623
2860.484868236854,1,4,East,1984,635498.637663772
2463.2015003870883,4,3,West,1988,583152.3992858832
